title,URL,total_time,description,ingredients,instructions,calories,serves
Pandan Chiffon Cake,https://www.allrecipes.com/recipe/266245/pandan-chiffon-cake/,60,"Pandan cake is a soft, fluffy chiffon cake flavored with South East Asian pandan paste for a bright green color and sweet floral notes.","['6 eggs - separated', '0.25 teaspoon cream of tartar', '0.5 cup white sugar', '8 tablespoons water', '0.25 teaspoon pandan paste', '5 tablespoons corn oil', '1 cup self-rising flour - sifted']","['Preheat the oven to 325 degrees F (165 degrees C).', 'Combine egg whites and cream of tartar in the bowl of a stand mixer fitted with the whisk attachment; beat egg whites until stiff peaks form.', 'Beat egg yolks and sugar in a separate bowl until sugar has dissolved.', 'Whisk water and pandan paste until smooth; mix thoroughly into egg yolk mixture. Stir in corn oil, then fold in sifted flour.', 'Fold egg yolk mixture gently into beaten egg whites using a spatula. Pour into a 9-inch chiffon cake mold.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, 45 to 50 minutes. Invert cake mold onto a cooling rack immediately after removing it from the oven. Let cake cool upside down in the mold. Loosen cooled cake from the mold using a sharp knife.']",227 kcal,8 servings
How to Make Beef Satay,https://www.allrecipes.com/recipe/234309/how-to-make-beef-satay/,150,"This beef satay recipe is Chef John's version of the popular Thai Malaysian appetizer of grilled sirloin strips flavored with sweet, zesty marinade.","['0.25 cup packed brown sugar', '0.25 cup fish sauce', '4 cloves crushed garlic', '2 tablespoons minced onion', '2 tablespoons vegetable oil', '2 tablespoons soy sauce', '2 tablespoons ground coriander', '1 tablespoon grated fresh ginger root', '1 tablespoon ground cumin', '0.5 teaspoon ground turmeric', '0.125 teaspoon cayenne pepper', '2-inch piece of fresh lemon grass (white part only)', '2 pounds beef top sirloin - trimmed', '4 12-inch long metal skewers']","['Whisk together brown sugar, fish sauce, garlic, onion, oil, soy sauce, coriander, ginger, cumin, turmeric, and cayenne pepper in a mixing bowl until smooth.', ""Bruise lemongrass by hitting it lightly several times with the back of a large chef's knife; mince lemongrass and add to marinade."", 'Cut beef sirloin into strips about 2 1/2-inches long and 1/8 inch-thick. Stir beef into marinade until beef is completely coated, about 1 minute. Cover the bowl with plastic wrap and marinate in the refrigerator for 2 to 4 hours.', 'Preheat an outdoor grill for high heat. Lightly oil the grate.', 'Remove beef from marinade and shake off excess marinade. Thread 1/4 of the meat onto each metal skewer. Discard remaining marinade.', 'Arrange skewers on the preheated grill; cook until meat stops sticking to the grill, 1 to 2 minutes. Flip skewers and continue cooking until meat is well browned and shows grill marks, 2 to 2 1/2 minutes. Flip skewers once more; cook until meat is still slightly pink, about 2 minutes. Transfer skewers to a platter; let rest for 2 minutes before serving.']",484 kcal,4 servings
Ayam Penyet Pedas (Indonesian Spicy Penyet Chicken),https://www.allrecipes.com/recipe/264557/ayam-penyet-pedas-indonesian-spicy-penyet-chicken/,120,Ayam Penyet (Penyet Chicken) is an incredibly spicy Indonesian dish that is not for the faint-hearted. Ingredients can be found in Asian grocery stores.,"['5 cloves garlic (peeled divided)', '3 shallots (divided)', '1.5 inch piece fresh ginger root (peeled and chopped)', '1.5 inch piece galangal (thinly sliced)', '0.5 teaspoon ground coriander', '2 teaspoons salt (divided)', '4 chicken thighs', '1.25 cups water', '2 salam leaves (substitute with curry leaves)', '3 teaspoons oil (divided) (or as needed)', '0.5 tomato', '11 fresh red chile pepper (finely chopped)', '4 tablespoons key lime juice', '1 teaspoon shrimp paste', '0.5 teaspoon white sugar', '1 bunch lemon basil (kemangi)']","['Combine garlic, 1 shallot, ginger, galangal, coriander, and 1.5 teaspoon salt in a mortar and pestle; pound into a paste.', 'Combine chicken with the garlic paste, water, and salam leaves in a pot. Bring to a boil, reduce heat, and simmer until chicken is cooked through, about 20 minutes.', ""Meanwhile, heat 2 teaspoons oil in a skillet. Once the chicken is fully boiled, fry the chicken in the skillet until it's golden brown, 5 to 10 minutes."", 'For the sambal (chili sauce) heat 1 teaspoon oil in a skillet over medium heat and cook remaining 2 shallots, tomato, and red chiles for 2 minutes. Move to a mortar and pestle and add lime juice, shrimp paste, 1/2 teaspoon salt, sugar, and lemon basil. Pound everything into a paste.', 'Place the sambal (chile sauce) at the bottom of a serving plate and place the chicken on top of the dish.']",558 kcal,2 servings
Indonesian Satay,https://www.allrecipes.com/recipe/36875/indonesian-satay/,60,"Boneless chicken meat is marinated in a soy sauce mixture, cooked on the grill, and served with a delicious peanut sauce.","['3 tablespoons soy sauce', '3 tablespoons tomato sauce', '1 tablespoon peanut oil', '2 cloves garlic (peeled and minced)', '1 pinch ground black pepper', '1 pinch ground cumin', '6 pcs skinless boneless chicken breast halves - cubed', '1 tablespoon vegetable oil', '0.25 cup minced onion', '1 clove garlic (peeled and minced)', '1 cup water', '0.5 cup chunky peanut butter', '2 tablespoons soy sauce', '2 tablespoons white sugar', '1 tablespoon lemon juice', 'some skewers']","['In a bowl, mix soy sauce, tomato sauce, peanut oil, garlic, black pepper, and cumin. Place chicken into the mixture, and stir to coat. Cover, and marinate in the refrigerator for at least 15 minutes, but not overnight. This will make the meat too dark.', 'Preheat the grill for high heat.', 'Heat vegetable oil in a saucepan over medium heat, and saute onion and garlic until lightly browned. Mix in water, peanut butter, soy sauce, and sugar. Cook and stir until well blended. Remove from heat, mix in lemon juice, and set aside.', 'Lightly oil the grill grate. Thread chicken onto skewers, and discard marinade. Grill skewers about 5 minutes per side, until chicken juices run clear. Serve with the peanut sauce.']",329 kcal,6 servings
Spicy Tomato Chicken (Ayam Masak Merah),https://www.allrecipes.com/recipe/156939/spicy-tomato-chicken-ayam-masak-merah/,55,"Chicken is simmered in a fragrant sauce of chile peppers, turmeric, cinnamon, star anise, cloves, and cardamom.","['3 pound whole chicken (cut into 8 pieces)', '1 teaspoon ground turmeric', 'some pinched of salt', '0.25 cup dried red chile peppers', '3 fresh red chile pepper (finely chopped)', '4 cloves garlic, minced', '1 red onion (chopped)', '1 (3/4 inch thick slice fresh ginger root', '2 tablespoons sunflower seed oil', '1 cinnamon stick', '2 whole star anise pods', '5 whole cloves', '5 cardamom seeds', '2 tomatoes (sliced)', '2 tablespoons ketchup', '1 teaspoon white sugar', '0.5 cup water']","['Rub the chicken with turmeric powder and salt. Set aside. Soak the dried red chile peppers in hot water until softened. Blend the softened dried chile, fresh red chile pepper, garlic, onion, and ginger in a blender to a paste.', 'Heat the oil in a large skillet over medium-high heat. Brown the chicken in the hot oil until golden on all sides. Remove the chicken from the skillet and set aside. Remove excess oil from the skillet, leaving about 1 tablespoon. Cook and stir the chile paste with the cinnamon, star anise, cloves and cardamom seeds until fragrant. Return the chicken to the skillet. Stir in the water, adding more if needed. Toss in the tomatoes and stir in the ketchup and sugar. Bring to a boil then reduce heat to medium-low and simmer until no the chicken longer pink at the bone and the juices run clear, about 15 minutes. Serve hot.']",462 kcal,4 servings
Chef John's Beef Rendang,https://www.allrecipes.com/recipe/270313/chef-johns-beef-rendang/,270,"Galangal, peppers, coconut milk, lemongrass, and lots of spices are simmered with beef chuck to make the dry, concentrated Indonesian curry known as beef rendang.","['2.5 pounds beef chuck', '4 shallots (sliced)', '6 cloves garlic', '1 (1.5 inch piece ginger (peeled and sliced)', '1.5 inch piece galangal (peeled and sliced)', '2 serrano chile peppers - stemmed, seeded, and sliced', '1 Fresno chile pepper - stemmed, seeded, and sliced', '1 tablespoon Korean red pepper flakes', '1 teaspoon ground coriander', '0.5 teaspoon ground turmeric', '0.125 teaspoon ground cardamom', '0.125 teaspoon freshly grated nutmeg', '2 tablespoons vegetable oil', '14 ounce can full-fat coconut milk', '2 teaspoons tamarind paste', '1 tablespoon brown sugar', '0.5 stalk lemongrass, light part']","['Cut beef chuck into 2-inch pieces.', 'Combine shallots, garlic, ginger, galangal, serrano and Fresno chiles, salt, red pepper flakes, coriander, turmeric, cardamom, and nutmeg in the bowl of a food processor. Pulse until paste is very finely ground, stopping occasionally to scrape down the sides with a spatula.', 'Heat oil in a pan over medium heat. Add the curry paste. Cook and stir until it starts to dry out, then stir in the beef. Add coconut milk, tamarind paste, and brown sugar. Stir to combine. Fill up the empty can of coconut milk with water and pour it into the pan. Increase heat to medium-high; bring to a simmer.', 'In the meantime, bruise lemongrass with the back of your knife. Cut into 1- to 2-inch pieces and add to the curry. Reduce heat to medium. Cook, uncovered, stirring occasionally, until beef is fork-tender and sauce is fully reduced, about 4 hours. Stir more frequently as water reduces; add more water or lower the heat if sauce is reducing faster than beef is softening.', 'Remove lemongrass to serve. For best results, let cool and serve the next day.']",380 kcal,8 servings
Nasi Goreng (Indonesian Fried Rice),https://www.allrecipes.com/recipe/165963/indonesian-fried-rice-nasi-goreng/,180,"Nasi goreng is a traditional Indonesian fried rice dish that's savory, sweet, and salty thanks to the addition of kecap manis (Indonesian soy sauce).","['cooking spray', '3 large eggs, beaten', '1 tablespoon vegetable oil', '1 onion (chopped)', '1 leek (chopped)', '2 green chile peppers (chopped)', '1 clove garlic, minced', '0.5 pound skinless, boneless chicken breasts, cut into thin strips', '0.5 pound prawns(peeled and deveined))', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1 cup uncooked white rice', '3 tablespoons sweet soy sauce (Indonesian kecap manis)']","['Heat a large nonstick skillet over medium heat. Coat with nonstick cooking spray.', 'Pour eggs into the hot skillet and cook until the edges begin to set. Lift the edges to allow any uncooked egg to flow onto the hot pan, about 1 minute. Flip omelet in one piece and cook until fully set, about 30 seconds. Transfer omelet to a cutting board and slice into 1/2-inch strips. Set aside.', 'Heat vegetable oil in a wok or large frying pan over high heat. Stir in onion, leek, chile peppers, and garlic. Cook and stir until onion is soft, 3 to 5 minutes. Stir in chicken, shrimp, coriander, and cumin; mix well. Cook and stir for about 5 minutes.', 'Mix in cooked rice, sweet soy sauce, and omelet strips; cook until rice is heated through and chicken is no longer pink in the center, 3 to 5 minutes.']",415 kcal,4 servings
Pisang Goreng (Indonesian Banana Fritters),https://www.allrecipes.com/recipe/47104/pisang-goreng-indonesian-banana-fritters/,20,Banana slices are coated in a tasty batter and deep-fried in this pisang goreng recipe for the popular Indonesian snack.,"['1.25 cups all-purpose flour', '2 tablespoons granulated sugar', '0.25 tablespoon vanilla powder', '0.5 cup milk', '1 egg', '2 tablespoons butter, melted', '1 teaspoon rum flavoring', '4 ripe bananas (sliced)', '2 cups oil for frying']","['Combine flour, sugar, and vanilla powder in a large bowl; make a well in the center. Pour milk, egg, melted butter, and rum flavoring into the well; mix until smooth. Fold in banana slices until evenly coated.', 'Heat oil in a wok or deep fryer to 375 degrees F (190 degrees C).', 'Drop banana mixture by tablespoon into hot oil. Fry in hot oil until golden brown and crispy, 10 to 15 minutes. Remove bananas from oil and drain them on paper towels. Serve hot.']",489 kcal,4 servings
Kecap Manis (Sweet Soy Sauce),https://www.allrecipes.com/recipe/178280/kecap-manis-sweet-soy-sauce/,145,"A thick and sweet sauce made with dark soy sauce, sugar, garlic, curry leaves, ginger, and star anise. Use it with all of your Asian cuisine!","['2.5 cups white sugar', '3 cups dark soy sauce', '0.5 cup water', '0.5 star anise pod', '2 fresh curry leaves', '1 inch piece fresh ginger root (sliced)', '4 cloves garlic, minced']","['Heat sugar in a heavy saucepan over medium-low heat until sugar becomes lightly brown. Slowly stir in soy sauce. Once the sugar and soy sauce are combined, stir in the water, star anise, curry leaves, ginger, and garlic. Increase heat and bring to a boil. Simmer until the sugar is dissolved, about 15 minutes. Remove from heat and cool. Strain sauce and pour into a lidded bottle or jar. Store in the refrigerator.']",65 kcal,30 servings
Indonesian Chicken Skewers with Peanut Sauce (Satay Ayam),https://www.allrecipes.com/recipe/221322/indonesian-chicken-skewers-with-peanut-sauce-satay-ayam/,100,Satay ayam is a sweet and salty Indonesian peanut sauce. Serve with pan-fried or grilled chicken skewers for an irresistible summer appetizer.,"['1 pound chicken thighs, cut into 1/2-inch pieces', '0.75 teaspoon salt', '1 pinch ground white pepper', '1 tablespoon sunflower seed oil', '24 wooden skewers', '1 cup water', '5 tablespoons peanut butter', '2 tablespoons kecap manis (sweet soy sauce)', '1 tablespoon brown sugar', '2 cloves garlic, minced', '0.5 teaspoon salt', '1 tablespoon lime juice']","['Combine chicken thighs, 3/4 teaspoon salt, white pepper, and sunflower seed oil in a bowl. Cover and refrigerate for 1 to 2 hours.', 'Soak wooden skewers in water to prevent burning during cooking.', 'Bring water, peanut butter, kecap manis, brown sugar, garlic, and 1/2 teaspoon salt to a boil in a small saucepan; stir to combine. Remove from heat and add lime juice; transfer peanut sauce into a bowl.', 'Thread marinated chicken onto skewers; brush 2 tablespoons of peanut sauce over chicken skewers.', 'Heat a grill pan or large skillet over medium-high heat. Arrange chicken skewers in batches on the grill pan and cook until chicken is no longer pink in the center, 1 to 2 minutes per side. Serve skewers with remaining peanut sauce.']",326 kcal,4 servings
